start,end,hand,label,stage
1582557120000,1582559400000,,,
0.42,0.56,n,face touching,1
2.35,7.25,,,1
8.30,13.30,,,2
12.43,12.46,n,face touching,2
13.58,19.00,,,3
16.08,16.20,b,skin picking,3
16.33,16.40,b,skin picking,3
16.57,16.59,b,skin picking,3
17.19,17.24,b,skin picking,3
17.55,17.59,b,skin picking,3
18.12,18.18,b,skin picking,3
19.20,24.20,,,4
19.28,19.52,b,skin picking,4
20.57,21.20,b,skin picking,4
21.27,21.47,b,skin picking,4
22.07,22.13,b,skin picking,4
22.18,22.24,b,skin picking,4
22.27,22.40,b,skin picking,4
22.47,22.53,b,skin picking,4
23.02,23.06,b,skin picking,4
23.17,23.25,b,skin picking,4
24.03,24.07,n,face touching,4
25.20,30.30,,,5
29.48,30.08,b,skin picking,5
30.50,35.50,,,6
30.35,30.51,b,skin picking,6
31.31,31.35,b,skin picking,6
31.46,31.50,b,skin picking,6
32.48,32.54,b,skin picking,6
34.30,34.53,b,skin picking,6
35.04,35.08,b,skin picking,6
35.12,35.20,b,skin picking,6
