start,end,hand,label,stage
1582538875000,1582541040000,,,
1.15,6.15,,,1
2.57,3.01,n,face touching,1
3.14,3.17,n,face touching,1
3.50,3.57,n,face touching,1
4.06,4.10,n,face touching,1
4.20,4.23,n,face touching,1
5.08,5.11,d,face touching,1
5.47,5.54,d,face touching,1
6.18,6.22,d,face touching,1
6.57,6.59,d,face touching,1
7.00,12.00,,,2
12.34,17.34,,,3
13.47,13.49,b,hand scratching,3
14.59,15.05,b,hand scratching,3
15.52,16.06,b,hand scratching,3
16.09,16.16,n,face touching,3
16.26,16.28,b,hand scratching,3
16.31,16.34,b,hand scratching,3
16.38,16.45,n,face touching,3
17.42,17.52,n,face touching,3
17.49,22.49,,,4
18.20,18.26,b,skin picking,4
20.34,20.40,b,skin picking,4
20.44,20.46,b,skin picking,4
20.47,20.50,b,skin picking,4
20.53,20.55,b,skin picking,4
20.59,21.06,b,skin picking,4
21.10,21.16,b,skin picking,4
22.21,22.26,n,face touching,4
23.16,23.30,d,face touching,4
24.14,29.29,,,5
29.49,34.49,,,6
30.21,30.30,n,face touching,6
30.33,30.41,n,face touching,6
31.17,31.24,n,face touching,6
31.41,31.52,n,face touching,6
